year,state,candidate,party,writein,candidate_votes,total_votes
1976,ALABAMA,"CARTER, JIMMY",DEMOCRAT,FALSE,659170,1182850
1976,ALABAMA,"FORD, GERALD",REPUBLICAN,FALSE,504070,1182850
1976,ALABAMA,"MADDOX, LESTER",OTHER,FALSE,9198,1182850
1976,ALABAMA,"BUBAR, BENJAMIN """"BEN""""",OTHER,FALSE,6669,1182850
1976,ALABAMA,"HALL, GUS",OTHER,FALSE,1954,1182850
1976,ALABAMA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1481,1182850
1976,ALABAMA,,OTHER,TRUE,308,1182850
1976,ALASKA,"FORD, GERALD",REPUBLICAN,FALSE,71555,123574
1976,ALASKA,"CARTER, JIMMY",DEMOCRAT,FALSE,44058,123574
1976,ALASKA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,6785,123574
1976,ALASKA,,OTHER,TRUE,1176,123574
1976,ARIZONA,"FORD, GERALD",REPUBLICAN,FALSE,418642,742719
1976,ARIZONA,"CARTER, JIMMY",DEMOCRAT,FALSE,295602,742719
1976,ARIZONA,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,19229,742719
1976,ARIZONA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,7647,742719
1976,ARIZONA,"CAMEJO, PETER",OTHER,FALSE,928,742719
1976,ARIZONA,"ANDERSON, THOMAS J.",OTHER,FALSE,564,742719
1976,ARIZONA,"MADDOX, LESTER",OTHER,FALSE,85,742719
1976,ARIZONA,,OTHER,TRUE,22,742719
1976,ARKANSAS,"CARTER, JIMMY",DEMOCRAT,FALSE,498604,767535
1976,ARKANSAS,"FORD, GERALD",REPUBLICAN,FALSE,267903,767535
1976,ARKANSAS,,OTHER,FALSE,639,767535
1976,ARKANSAS,"MADDOX, LESTER",OTHER,FALSE,389,767535
1976,CALIFORNIA,"FORD, GERALD",REPUBLICAN,FALSE,3882244,7803770
1976,CALIFORNIA,"CARTER, JIMMY",DEMOCRAT,FALSE,3742284,7803770
1976,CALIFORNIA,"MACBRIDE, ROGER",OTHER,FALSE,56388,7803770
1976,CALIFORNIA,"MADDOX, LESTER",OTHER,FALSE,51098,7803770
1976,CALIFORNIA,"WRIGHT, MARGARET",OTHER,FALSE,41731,7803770
1976,CALIFORNIA,"CAMEJO, PETER",OTHER,FALSE,17259,7803770
1976,CALIFORNIA,"HALL, GUS",OTHER,FALSE,12766,7803770
1976,COLORADO,"FORD, GERALD",REPUBLICAN,FALSE,584278,1081440
1976,COLORADO,"CARTER, JIMMY",DEMOCRAT,FALSE,460801,1081440
1976,COLORADO,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,26047,1081440
1976,COLORADO,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,5338,1081440
1976,COLORADO,"BUBAR, BENJAMIN """"BEN""""",OTHER,FALSE,2886,1081440
1976,COLORADO,"CAMEJO, PETER",OTHER,FALSE,1122,1081440
1976,COLORADO,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,565,1081440
1976,COLORADO,"HALL, GUS",OTHER,FALSE,403,1081440
1976,CONNECTICUT,"FORD, GERALD",REPUBLICAN,FALSE,719261,1386355
1976,CONNECTICUT,"CARTER, JIMMY",DEMOCRAT,FALSE,647895,1386355
1976,CONNECTICUT,SCATTERING,OTHER,FALSE,10309,1386355
1976,CONNECTICUT,"MADDOX, LESTER",OTHER,FALSE,7101,1386355
1976,CONNECTICUT,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,1789,1386355
1976,DELAWARE,"CARTER, JIMMY",DEMOCRAT,FALSE,122461,235642
1976,DELAWARE,"FORD, GERALD",REPUBLICAN,FALSE,109780,235642
1976,DELAWARE,,OTHER,FALSE,2432,235642
1976,DELAWARE,"ANDERSON, THOMAS J.",OTHER,FALSE,645,235642
1976,DELAWARE,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,135,235642
1976,DELAWARE,"BUBAR, BENJAMIN """"BEN""""",OTHER,FALSE,103,235642
1976,DELAWARE,,OTHER,FALSE,86,235642
1976,DISTRICT OF COLUMBIA,"CARTER, JIMMY",DEMOCRAT,FALSE,137818,168830
1976,DISTRICT OF COLUMBIA,"FORD, GERALD",REPUBLICAN,FALSE,27873,168830
1976,DISTRICT OF COLUMBIA,OTHER,OTHER,FALSE,1656,168830
1976,DISTRICT OF COLUMBIA,,OTHER,FALSE,1195,168830
1976,DISTRICT OF COLUMBIA,,OTHER,TRUE,288,168830
1976,FLORIDA,"CARTER, JIMMY",DEMOCRAT,FALSE,1636000,3150631
1976,FLORIDA,"FORD, GERALD",REPUBLICAN,FALSE,1469531,3150631
1976,FLORIDA,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,23643,3150631
1976,FLORIDA,"ANDERSON, THOMAS J.",OTHER,FALSE,21325,3150631
1976,FLORIDA,,OTHER,TRUE,132,3150631
1976,GEORGIA,"CARTER, JIMMY",DEMOCRAT,FALSE,979409,1463152
1976,GEORGIA,"FORD, GERALD",REPUBLICAN,FALSE,483743,1463152
1976,HAWAII,"CARTER, JIMMY",DEMOCRAT,FALSE,147375,291301
1976,HAWAII,"FORD, GERALD",REPUBLICAN,FALSE,140003,291301
1976,HAWAII,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,3923,291301
1976,IDAHO,"FORD, GERALD",REPUBLICAN,FALSE,204151,340932
1976,IDAHO,"CARTER, JIMMY",DEMOCRAT,FALSE,126549,340932
1976,IDAHO,"MADDOX, LESTER",OTHER,FALSE,5935,340932
1976,IDAHO,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,3558,340932
1976,IDAHO,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,739,340932
1976,ILLINOIS,"FORD, GERALD",REPUBLICAN,FALSE,2364269,4721282
1976,ILLINOIS,"CARTER, JIMMY",DEMOCRAT,FALSE,2271295,4721282
1976,ILLINOIS,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,55939,4721282
1976,ILLINOIS,"HALL, GUS",OTHER,FALSE,9250,4721282
1976,ILLINOIS,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,8057,4721282
1976,ILLINOIS,,OTHER,TRUE,4417,4721282
1976,ILLINOIS,"CAMEJO, PETER",OTHER,FALSE,3615,4721282
1976,ILLINOIS,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,2422,4721282
1976,ILLINOIS,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,2018,4721282
1976,INDIANA,"FORD, GERALD",REPUBLICAN,FALSE,1183958,2220362
1976,INDIANA,"CARTER, JIMMY",DEMOCRAT,FALSE,1014714,2220362
1976,INDIANA,"ANDERSON, THOMAS J.",OTHER,FALSE,14048,2220362
1976,INDIANA,"CAMEJO, PETER",OTHER,FALSE,5695,2220362
1976,INDIANA,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,1947,2220362
1976,IOWA,"FORD, GERALD",REPUBLICAN,FALSE,632864,1279303
1976,IOWA,"CARTER, JIMMY",DEMOCRAT,FALSE,619931,1279303
1976,IOWA,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,20057,1279303
1976,IOWA,"ANDERSON, THOMAS J.",OTHER,FALSE,3041,1279303
1976,IOWA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1454,1279303
1976,IOWA,"HALL, GUS",OTHER,FALSE,551,1279303
1976,IOWA,SCATTERING,OTHER,FALSE,509,1279303
1976,IOWA,"CAMEJO, PETER",OTHER,FALSE,262,1279303
1976,IOWA,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,241,1279303
1976,IOWA,"ZEIDLER, FRANK",OTHER,FALSE,233,1279303
1976,IOWA,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,160,1279303
1976,KANSAS,"FORD, GERALD",REPUBLICAN,FALSE,502752,957845
1976,KANSAS,"CARTER, JIMMY",DEMOCRAT,FALSE,430421,957845
1976,KANSAS,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,13185,957845
1976,KANSAS,"ANDERSON, THOMAS J.",OTHER,FALSE,4724,957845
1976,KANSAS,"MACBRIDE, ROGER",OTHER,FALSE,3242,957845
1976,KANSAS,"MADDOX, LESTER",OTHER,FALSE,2118,957845
